Kategori,Ukuran / Ring,Nama Produk,Harga HET (Rp)
Tubeless,150/60-17,EXATO NR 88 TL,808000
Tubetype,70/90-14,NF 59,192000
Tubetype,70/90-14,NF 67,192000
Tubetype,70/90-14,TR,205000
Tubetype,80/80-14,NR 82,222000
Tubetype,80/90-14,NR 73T,222000
Tubetype,80/90-14,NR 76,222000
Tubetype,80/90-14,SS 530 F,222000
Tubetype,80/90-14,TR,270000
Tubetype,80/90-14,GS 45,275000
Tubetype,90/80-14,NR 76A,272000
Tubetype,90/90-14,NR 73T,272000
Tubetype,90/90-14,SS 530 R,272000
Tubetype,90/90-14,TR,290000
Tubetype,90/90-14,GS 45,300000
Tubetype,100/70-14,NR 82,285000
Tubetype,100/80-14,SS 560,285000
Tubetype,70/90-16,NR 72,218000
Tubetype,80/90-16,NR 72,265000
Tubetype,90/100-16,GP 22,362000
Tubetype,60/80-17,REBORN NR 87,200000
Tubetype,70/80-17,REBORN NR 87,228000
Tubetype,70/90-17,NF 35,228000
Tubetype,70/90-17,NF 63B,228000
Tubetype,70/90-17,NR 57M,228000
Tubetype,70/90-17,NR 69,228000
Tubetype,70/90-17,NR 72,228000
Tubetype,70/90-17,NR 73,228000
Tubetype,70/90-17,NR 80,228000
Tubetype,80/90-17,NR 41,272000
Tubetype,80/90-17,NR 57M,272000
Tubetype,80/90-17,NR 69,272000
Tubetype,80/90-17,NR 72,272000
Tubetype,80/90-17,NR 73,272000
Tubetype,80/90-17,NR 78Y,272000
Tubetype,80/90-17,NR 80,272000
Tubetype,80/100-17,GP 210,275000
Tubetype,80/100-17,NF 25,275000
Tubetype,90/90-17,NR 72,355000
Tubetype,90/90-17,NR 82,355000
Tubetype,100/70-17,NR 82,385000
Tubetype,100/80-17,RX-01 F,385000
Tubetype,100/90-17,GP 210,405000
Tubetype,100/90-17,NR 25,405000
Tubetype,110/70-17,RX-01 F,418000
Tubetype,120/70-17,RX-01 R,480000
Tubetype,80/90-18,NR 57,298000
Tubetype,90/90-18,NR 57,385000
Tubetype,90/90-18,NR 72,385000
Tubetype,100/90-18,NR 25,440000
Tubetype,100/90-18,NR 65,440000
Tubetype,70/100-19,GP 21,280000
Tubetype,350-8,SP 2,185000
Tubetype,300-10,RV,185000
Tubetype,350-10,MB 520,218000
Tubetype,350-10,VS,218000
Tubetype,225-17,NF 3,185000
Tubetype,225-17,NR 72,185000
Tubetype,250-17,NF 40,223000
Tubetype,250-17,NF 47,223000
Tubetype,250-17,NF 6,223000
Tubetype,250-17,NR 6,223000
Tubetype,250-17,NR 72,223000
Tubetype,250-17,TR,240000
Tubetype,250-17,GS 45,245000
Tubetype,275-17,NR 25,272000
Tubetype,275-17,NR 60,272000
Tubetype,275-17,NR 72,272000
Tubetype,275-17,SP 1H,272000
Tubetype,275-17,TR,290000
Tubetype,275-17,GS 45,295000
Tubetype,300-17,NR 25,338000
Tubetype,300-17,SP 1M,338000
Tubetype,300-17,TR,355000
Tubetype,300-17,GS 45,355000
Tubetype,250-18,NF 2,240000
Tubetype,250-18,NR 2,240000
Tubetype,250-18,TR,260000
Tubetype,275-18,NF 25,295000
Tubetype,275-18,NR 25,295000
Tubetype,275-18,NR 65,295000
Tubetype,275-18,TR,315000
Tubetype,275-18,GS 45,320000
Tubetype,300-18,NR 25,352000
Tubetype,300-18,NR 65,352000
Tubetype,300-18,TR,365000
Tubetype,300-18,GS 45,370000
Tubetype,325-18,TR,405000
Tubetype,350-18,TR,470000
Tubetype,410-18,GP 22,515000
Tubetype,275-19,TR,330000
Tubetype,275-21,GP 21,360000
Tubetype,275-21,TR,355000
Racing,80/80-14,FASTI PRO TL,380000
Racing,90/80-14,FASTI PRO TL,445000
Racing,90/80-14,FASTI 2 TL,445000
Racing,100/80-14,FASTI PRO TL,500000
Racing,90/80-17,FASTI PRO TL,550000
Racing,90/80-17,FASTI 1 TL,550000
Racing,90/80-17,FASTI 2 TL,550000
Racing,100/80-17,FASTI 2 TL,580000
Racing,110/70-17,FASTI PRO TL,595000
Racing,110/70-17,FASTI 1 TL,595000
Racing,130/70-17,FASTI 1 TL,865000
Racing,140/70-17,FASTI 1 TL,930000
Off-Road Competition,90/100-16,iX-09W,625000
Off-Road Competition,100/100-18,iX-09W,795000
Off-Road Competition,70/100-19,iX-05H,495000
Off-Road Competition,80/100-21,iX-05H,575000
High Performance,100/80-14,MBR 110 TL,445000
High Performance,110/80-14,MBR 110 TL,510000
High Performance,120/70-14,MBR 110 TL,555000
High Performance,140/70-14,MBR 110 TL,650000
High Performance,90/80-17,MBR 110 TL,450000
High Performance,110/70-17,MBR 110 TL,550000
High Performance,120/70-17,MBR 110 TL,670000
High Performance,140/70-17,MBR 110 TL,805000
High Performance,150/60-17,MBR 110 TL,925000
High Performance,110/70-17,RX-02 F TL,550000
High Performance,120/70-17,RX-02 F TL,570000
High Performance,130/70-17,RX-02 R TL,730000
High Performance,140/70-17,RX-02 R TL,795000
High Performance,150/70-17,RX-02 R TL,900000
High Performance,160/70-17,RX-02 R TL,970000
Ban Dalam,RIM 14,70/90-14,40000
Ban Dalam,RIM 14,80/90-14,43000
Ban Dalam,RIM 14,70/90 80/80 80/90-14 (250/275-14),43000
Ban Dalam,RIM 14,80/90 90/80 90/90-14 (275/300-14),47500
Ban Dalam,RIM 14,300/360-14 (90/80-14),47500
Ban Dalam,RIM 14,90/90-14 (100/80-14),52000
Ban Dalam,RIM 16,70/90-16,43000
Ban Dalam,RIM 16,80/90-16,48000
Ban Dalam,RIM 16,90/100-16,60000
Ban Dalam,RIM 8,350-8,48500
Ban Dalam,RIM 19,250-19 (70/100-19),54000
Ban Dalam,RIM 19,275/300-19 (80/100 90/90-19),58500
Ban Dalam,RIM 19,325/350-19 (100/90-19),78000
Ban Dalam,RIM 17,ITI5002-1 (50/90 60/80-17),43000
Ban Dalam,RIM 17,ITI2205-1 (225/250-17 70/90-17),43000
Ban Dalam,RIM 17,ITI2502-1 (250/275-17 70/90 80/90-17),48000
Ban Dalam,RIM 17,ITI2703-1 (275-17 80/90-17),49000
Ban Dalam,RIM 17,ITI3002-1 (300/325-17 90/90 80/100 100/70-17),54000
Ban Dalam,RIM 17,ITI1003-1 (100/90 110/80 120/70-17),62500
Ban Dalam,RIM 18,ITJ2202-1 (225/250-18),47500
Ban Dalam,RIM 18,ITJ2704-1 (275-18),52500
Ban Dalam,RIM 18,ITJ2705-1 (275/300-18 80/100 90/90-18),55000
Ban Dalam,RIM 18,ITJ3202-1 (325/350/400/410-18 90/100 100/90-18),73500
Ban Dalam,RIM 10,ITC3002-1 (300-10),47500
Ban Dalam,RIM 10,ITC3502-1 (350/400-10),55000
Ban Dalam,RIM 21,ITM2702-1 (275/300-21 80/100 90/90-21),61500
